step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000329,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000330,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000331,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000332,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000333,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000334,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000335,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000336,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000337,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000338,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000339,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000340,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000341,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000342,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000343,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000344,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,PassageState,MediumChange2State
step_00000345,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000346,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000347,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000348,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000349,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000350,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000351,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000352,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000353,,,,,,MediumChange2State,,MediumChange2State,PassageState,MediumChange2State
step_00000354,,,,,,MediumChange2State,,MediumChange2State,MediumChange1State,MediumChange2State
step_00000355,,,,,,MediumChange2State,,MediumChange2State,MediumChange1State,MediumChange2State
step_00000356,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000357,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000358,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000359,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000360,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000361,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000362,,,,,,MediumChange2State,,PassageState,MediumChange1State,MediumChange2State
step_00000363,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000364,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000365,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000366,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000367,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000368,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000369,,,,,,MediumChange2State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000370,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000371,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000372,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000373,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000374,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000375,,,,,,PassageState,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000376,,,,,,MediumChange1State,,MediumChange1State,MediumChange1State,MediumChange2State
step_00000377,,,,,,MediumChange1State,,MediumChange1State,MediumChange2State,MediumChange2State
step_00000378,,,,,,MediumChange1State,,MediumChange1State,MediumChange2State,MediumChange2State
step_00000379,,,,,,MediumChange1State,,MediumChange1State,MediumChange2State,MediumChange2State
step_00000380,,,,,,MediumChange1State,,MediumChange2State,MediumChange2State,MediumChange2State
step_00000381,,,,,,MediumChange1State,,MediumChange2State,MediumChange2State,MediumChange2State
step_00000382,,,,,,MediumChange1State,,MediumChange2State,MediumChange2State,MediumChange2State
step_00000383,,,,,,MediumChange1State,,MediumChange2State,MediumChange2State,MediumChange2State
step_00000384,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000385,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000386,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000387,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000388,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000389,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000390,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000391,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000392,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000393,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000394,,,,,,MediumChange1State,,MediumChange2State,,MediumChange2State
step_00000395,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000396,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000397,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000398,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000399,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000400,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000401,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000402,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000403,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000404,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000405,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000406,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000407,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000408,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000409,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000410,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000411,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000412,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000413,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000414,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000415,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000416,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000417,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000418,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000419,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000420,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000421,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000422,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000423,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000424,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000425,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000426,,,,,,MediumChange2State,,MediumChange2State,,MediumChange2State
step_00000427,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000428,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000429,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000430,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000431,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000432,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000433,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000434,,,,,,MediumChange2State,,MediumChange2State,,PassageState
step_00000435,,,,,,MediumChange2State,,MediumChange2State,,MediumChange1State
step_00000436,,,,,,MediumChange2State,,MediumChange2State,,MediumChange1State
step_00000437,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000438,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000439,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000440,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000441,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000442,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000443,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000444,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000445,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000446,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000447,,,,,,MediumChange2State,,SamplingState,,MediumChange1State
step_00000448,,,,,,MediumChange2State,,,,MediumChange1State
